hotstar_id,title,description,genre,release_year,age_rating,running_time,seasons,episodes,type,country,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
1000083208.0,Ganda Hendathi,A passionless marriage leads a woman to have an affair with her college love. But their liaison turns dangerous when her her husband learns of it.,Thriller,2006.0,U/A 13+,120.0,,,movie,Singapore,tt2417628,movie,Ganda Hendathi,Ganda Hendathi,0.0,2006.0,,,"Romance,Thriller",5.6,35
1260018323.0,Peter Pan,"Wendy loves to tell stories about Peter Pan, a boy who never grows up. But, one day Wendy and her brothers visit the fabled Neverland with Peter Pan himself!",Animation,1953.0,U,73.0,,,movie,UK,tt0015224,movie,Peter Pan,Peter Pan,0.0,1924.0,,105,"Adventure,Family,Fantasy",7.1,1267
1260125787.0,Rest of the Night,A story of love and turmoil! A couple in love experiences highs and lows in their relationship as it progresses through harrowing stages of life.,Drama,2022.0,U/A 16+,12.0,,,movie,UK,tt24242428,short,Rest of the Night,Rest of the Night,0.0,2022.0,,14,"Drama,Short",9.0,44
1000087441.0,Masaan,An intertwined tale of a girl caught making out in a hotel and a young low-caste boy falling in love with an upper-class girl. What's in store for them?,Drama,2015.0,U/A 16+,97.0,,,movie,Spain,tt2166508,movie,Masaan,Masaan,0.0,2011.0,,120,Drama,8.0,53
1000107054.0,Churam,"Maya, who works at a coffee shop, falls for Kunjunni, who brings in supplies to that shop. What turn will their lives take when they decide to get married?",Drama,1997.0,U/A 13+,134.0,,,movie,Turkey,tt0355328,movie,Churam,Churam,0.0,1997.0,,,"Crime,Drama,Romance",5.8,50
1260075644.0,Antlers,"A small-town teacher and her brother, the local sheriff, seek to help a troubled young boy who possesses a strange secret, unaware of the consequences.",Horror,2021.0,A,99.0,,,movie,Argentina,tt0770140,tvEpisode,Antlers,Antlers,0.0,2005.0,,,Comedy,7.0,31
1260126613.0,Beauty and the Beast: A 30th Celebration,An animated and live-action special honoring the 30th anniversary of the animated classic story.,Concert Film,2022.0,U/A 7+,87.0,,,movie,Brazil,tt21220842,tvSpecial,Beauty and the Beast: A 30th Celebration,Beauty and the Beast: A 30th Celebration,0.0,2022.0,,87,"Adventure,Animation,Family",6.7,1774
1770015536.0,The Immortal Life of Henrietta Lacks,An African-American woman becomes a pioneer for medical breakthroughs when her cells are used to create the first immortal human cell line in the early 1950s.,Historical,2017.0,U/A 16+,88.0,,,movie,Argentina,tt5686132,tvMovie,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,0.0,2017.0,,93,"Biography,Drama,History",6.4,3995
1260013376.0,It's My Life,"When Sita, an arrogant businesswoman, learns that her late father bequeathed all his fortune on her cousin, Ram, she sets out to reclaim it by hook or by crook.",Romance,2019.0,U/A 13+,151.0,,,movie,Singapore,tt0380911,tvSeries,It's My Life,It's My Life,0.0,2003.0,2008.0,45,Talk-Show,7.7,12
1000083294.0,Satya Harishchandra,Raja Harishchandra was known for upholding truth and justice under any circumstance. He did not even spare his family when it came to honesty and equity.,Mythology,1965.0,U,161.0,,,movie,India,tt0234658,movie,Satya Harishchandra,Satya Harishchandra,0.0,1965.0,,221,"Drama,History",8.6,202
